,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,51675.98046875,56113.65234375,50937.27734375,55888.1328125,55888.1328125,63495496918.0,1938.85986328125,1969.5469970703125,1896.6844482421875,1960.164794921875,1960.164794921875,26268814253.0,3921.159912109375,3930.409912109375,3903.070068359375,3906.7099609375,3906.7099609375,4823940000.0,130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875,129.45582580566406,87668800.0
2021-02-20,55887.3359375,57505.2265625,54626.55859375,56099.51953125,56099.51953125,68145460026.0,1959.9029541015625,2036.2864990234375,1830.531494140625,1919.5340576171875,1919.5340576171875,34696091102.0,,,,,,,,,,,,
2021-02-21,56068.56640625,58330.5703125,55672.609375,57539.9453125,57539.9453125,51897585191.0,1918.673095703125,1974.2596435546875,1890.3681640625,1935.60107421875,1935.60107421875,23626547717.0,,,,,,,,,,,,
2021-02-22,57532.73828125,57533.390625,48967.56640625,54207.3203125,54207.3203125,92052420332.0,1935.557861328125,1936.4537353515625,1580.6265869140625,1781.992919921875,1781.992919921875,42409646036.0,3885.550048828125,3902.919921875,3874.7099609375,3876.5,3876.5,5870190000.0,128.00999450683594,129.72000122070312,125.5999984741211,126.0,125.5981674194336,103916400.0
2021-02-23,54204.9296875,54204.9296875,45290.58984375,48824.42578125,48824.42578125,106102492824.0,1781.4090576171875,1781.4090576171875,1378.8409423828125,1570.2039794921875,1570.2039794921875,52029864713.0,3857.070068359375,3895.97998046875,3805.590087890625,3881.3701171875,3881.3701171875,6280650000.0,123.76000213623047,126.70999908447266,118.38999938964844,125.86000061035156,125.45861053466797,158273000.0
2021-02-24,48835.0859375,51290.13671875,47213.5,49705.33203125,49705.33203125,63695521388.0,1571.4764404296875,1710.9837646484375,1511.0189208984375,1626.57568359375,1626.57568359375,31329000537.0,3873.7099609375,3928.64990234375,3859.60009765625,3925.429931640625,3925.429931640625,5942350000.0,124.94000244140625,125.55999755859375,122.2300033569336,125.3499984741211,124.95023345947266,111039900.0
2021-02-25,49709.08203125,51948.96875,47093.8515625,47093.8515625,47093.8515625,54506565949.0,1625.3939208984375,1670.22412109375,1465.0589599609375,1475.7037353515625,1475.7037353515625,24481681873.0,3915.800048828125,3925.02001953125,3814.0400390625,3829.340087890625,3829.340087890625,6513060000.0,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376953,120.60414123535156,148199500.0
2021-02-26,47180.46484375,48370.78515625,44454.84375,46339.76171875,46339.76171875,350967941479.0,1478.6533203125,1559.0289306640625,1407.979248046875,1446.03369140625,1446.03369140625,31435997881.0,3839.659912109375,3861.080078125,3789.5400390625,3811.14990234375,3811.14990234375,6512950000.0,122.58999633789062,124.8499984741211,121.19999694824219,121.26000213623047,120.87328338623047,164560400.0
2021-02-27,46344.7734375,48253.26953125,45269.02734375,46188.453125,46188.453125,45910946382.0,1446.929443359375,1524.932373046875,1433.7869873046875,1459.97314453125,1459.97314453125,20742103233.0,,,,,,,,,,,,
2021-02-28,46194.015625,46716.4296875,43241.6171875,45137.76953125,45137.76953125,53443887451.0,1459.8604736328125,1468.3914794921875,1300.47216796875,1416.0489501953125,1416.0489501953125,27637026080.0,,,,,,,,,,,,
2021-03-01,45159.50390625,49784.015625,45115.09375,49631.2421875,49631.2421875,53891300112.0,1417.151123046875,1567.694580078125,1416.4161376953125,1564.7076416015625,1564.7076416015625,24032838645.0,3842.510009765625,3914.5,3842.510009765625,3901.820068359375,3901.820068359375,5071540000.0,123.75,127.93000030517578,122.79000091552734,127.79000091552734,127.38246154785156,116307900.0
2021-03-02,49612.10546875,50127.51171875,47228.84375,48378.98828125,48378.98828125,47530897720.0,1564.0634765625,1597.610107421875,1461.325439453125,1492.6087646484375,1492.6087646484375,22523669722.0,3903.639892578125,3906.409912109375,3868.570068359375,3870.2900390625,3870.2900390625,5493690000.0,128.41000366210938,128.72000122070312,125.01000213623047,125.12000274658203,124.7209701538086,102260900.0
